[2026-04-18 11:08:46] Before: 20000.0 | After: 19999.8 | Result: -0.20 | odd: 1.06x | bet: 0.2 | density(last10)=3/10
[2026-04-18 11:11:17] Before: 19999.8 | After: 19999.98 | Result: +0.18 | odd: 3.02x | bet: 0.6 | density(last10)=5/10
[2026-04-18 11:11:44] Before: 19999.98 | After: 20000.04 | Result: +0.06 | odd: 1.77x | bet: 0.2 | density(last10)=6/10
[2026-04-18 11:12:38] Before: 20000.04 | After: 20000.1 | Result: +0.06 | odd: 1.53x | bet: 0.2 | density(last10)=3/10
[2026-04-18 11:13:43] Before: 20000.1 | After: 19999.9 | Result: -0.20 | odd: 1.1x | bet: 0.2 | density(last10)=4/10
[2026-04-18 11:17:03] Before: 19999.9 | After: 20000.08 | Result: +0.18 | odd: 3.45x | bet: 0.6 | density(last10)=3/10
[2026-04-18 11:19:19] Before: 20000.08 | After: 19999.88 | Result: -0.20 | odd: 1.18x | bet: 0.2 | density(last10)=2/10
[2026-04-18 11:24:39] Before: 19999.88 | After: 20000.06 | Result: +0.18 | odd: 8.18x | bet: 0.6 | density(last10)=2/10
[2026-04-18 11:38:25] Before: 20000.06 | After: 20000.12 | Result: +0.06 | odd: 3.86x | bet: 0.2 | density(last10)=3/10
[2026-04-18 11:42:25] Before: 20000.12 | After: 19999.92 | Result: -0.20 | odd: 1.08x | bet: 0.2 | density(last10)=3/10
[2026-04-18 11:43:29] Before: 19999.92 | After: 20000.1 | Result: +0.18 | odd: 8.26x | bet: 0.6 | density(last10)=4/10
[2026-04-18 11:47:14] Before: 20000.1 | After: 20000.16 | Result: +0.06 | odd: 2.68x | bet: 0.2 | density(last10)=4/10
[2026-04-18 11:54:44] Before: 20000.16 | After: 20000.22 | Result: +0.06 | odd: 2.27x | bet: 0.2 | density(last10)=1/10
[2026-04-18 11:57:21] Before: 20000.22 | After: 20000.28 | Result: +0.06 | odd: 2.37x | bet: 0.2 | density(last10)=1/10
[2026-04-18 12:01:33] Before: 20000.28 | After: 20000.34 | Result: +0.06 | odd: 43.35x | bet: 0.2 | density(last10)=1/10
[2026-04-18 12:07:15] Before: 20000.34 | After: 20000.14 | Result: -0.20 | odd: 1.11x | bet: 0.2 | density(last10)=2/10
[2026-04-18 12:08:08] Before: 20000.14 | After: 20000.32 | Result: +0.18 | odd: 1.51x | bet: 0.6 | density(last10)=2/10
[2026-04-18 12:09:32] Before: 20000.32 | After: 20000.38 | Result: +0.06 | odd: 2.67x | bet: 0.2 | density(last10)=3/10
[2026-04-18 12:10:41] Before: 20000.38 | After: 20000.44 | Result: +0.06 | odd: 24.05x | bet: 0.2 | density(last10)=3/10
[2026-04-18 12:12:32] Before: 20000.44 | After: 20000.5 | Result: +0.06 | odd: 5.5x | bet: 0.2 | density(last10)=4/10
[2026-04-18 12:18:36] Before: 20000.5 | After: 20000.56 | Result: +0.06 | odd: 2.56x | bet: 0.2 | density(last10)=4/10
[2026-04-18 12:21:18] Before: 20000.56 | After: 20000.62 | Result: +0.06 | odd: 1.95x | bet: 0.2 | density(last10)=3/10
[2026-04-18 12:23:48] Before: 20000.62 | After: 20000.42 | Result: -0.20 | odd: 1.19x | bet: 0.2 | density(last10)=2/10
[2026-04-18 12:24:41] Before: 20000.42 | After: 20000.6 | Result: +0.18 | odd: 3.88x | bet: 0.6 | density(last10)=2/10
[2026-04-18 12:27:45] Before: 20000.6 | After: 20000.4 | Result: -0.20 | odd: 1.02x | bet: 0.2 | density(last10)=1/10
